product_id,title,author,year,genre,subgenre,page,avg_rating,price,description,photo,stock
2,"To Kill a Mockingbird","Harper Lee",1960,Classic,"Southern Gothic",281,4.5,14.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,747
3,1984,"George Orwell",1949,"Science Fiction",Dystopian,328,4.3,10.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,21
4,"Pride and Prejudice","Jane Austen",1813,Classic,Romance,432,4.2,9.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,47
5,"One Hundred Years of Solitude","Gabriel Garcia Marquez",1967,Fiction,"Magical Realism",417,4.4,18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,72
6,"The Odyssey",Homer,-750,Classic,"Epic Poetry",384,4.1,11.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,27
7,"War and Peace","Leo Tolstoy",1869,Classic,Historical,1225,4.1,24.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,91
8,"Moby Dick","Herman Melville",1851,Classic,Adventure,585,3.9,13.25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,89
9,"The Catcher in the Rye","J.D. Salinger",1951,"Young Adult",Coming-of-Age,277,3.8,12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,77
10,"Brave New World","Aldous Huxley",1932,"Science Fiction",Dystopian,268,4.1,14.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,40
11,"The Trial","Franz Kafka",1925,Fiction,Absurdist,255,4,12.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,51
